"Var1"	"Var2"	"value"
"AUH_exon"	"AUH_exon"	1
"CPSF6_exon"	"AUH_exon"	0.201058361596935
"CSTF2T_exon"	"AUH_exon"	0.209054181878563
"DDX3X_exon"	"AUH_exon"	0.18080992335621
"DDX42_exon"	"AUH_exon"	0.270035585808929
"DGCR8_exon"	"AUH_exon"	0.265499335767563
"EIF4G2_exon"	"AUH_exon"	0.292111216991955
"FAM120A_exon"	"AUH_exon"	0.205860882591755
"FMR1_exon"	"AUH_exon"	0.251210953068018
"FXR1_exon"	"AUH_exon"	0.221494034693864
"FXR2_exon"	"AUH_exon"	0.260282562783846
"GNL3_exon"	"AUH_exon"	0.245787730089982
"GTF2F1_exon"	"AUH_exon"	0.269993559797834
"HNRNPA1_exon"	"AUH_exon"	0.190213696458735
"HNRNPK_exon"	"AUH_exon"	0.217998659925722
"HNRNPM_exon"	"AUH_exon"	0.246477444244465
"HNRNPU_exon"	"AUH_exon"	0.194878313977499
"HNRNPUL1_exon"	"AUH_exon"	0.204342574737038
"IGF2BP1_exon"	"AUH_exon"	0.162419480134843
"IGF2BP2_exon"	"AUH_exon"	0.213302228186135
"ILF3_exon"	"AUH_exon"	0.195677118435232
"KHDRBS1_exon"	"AUH_exon"	0.158302112384029
"KHSRP_exon"	"AUH_exon"	0.0946967873173946
"LARP7_exon"	"AUH_exon"	0.38434720692398
"LIN28B_exon"	"AUH_exon"	0.162729280608868
"LSM11_exon"	"AUH_exon"	0.218388779079841
"NONO_exon"	"AUH_exon"	0.209930254781094
"NPM1_exon"	"AUH_exon"	0.255757342739929
"PRPF8_exon"	"AUH_exon"	0.145819155783616
"PTBP1_exon"	"AUH_exon"	0.206488089217844
"RBM22_exon"	"AUH_exon"	0.235530962305379
"RBM27_exon"	"AUH_exon"	0.250005460582859
"SAFB2_exon"	"AUH_exon"	0.17487367618581
"SBDS_exon"	"AUH_exon"	0.314839639457775
"SLBP_exon"	"AUH_exon"	0.249984565804912
"SLTM_exon"	"AUH_exon"	0.285145908404659
"SMNDC1_exon"	"AUH_exon"	0.183694260962755
"SND1_exon"	"AUH_exon"	0.225675062874696
"SRSF1_exon"	"AUH_exon"	0.194996964562224
"TAF15_exon"	"AUH_exon"	0.17403155513731
"TARDBP_exon"	"AUH_exon"	0.190911072864898
"TNRC6A_exon"	"AUH_exon"	0.27158397060254
"TRA2A_exon"	"AUH_exon"	0.210790991376009
